productid,prdtypecode,matched_categories
4293237,1160,3
4983688,2280,2
5862738,2280,3
8870838,40,1
46540267,1140,1
49132716,40,3
49747548,2280,4
50418756,1280,2
73334276,1160,3
81245478,2583,3
89332692,2280,3
90948388,40,3
91015572,1140,2
91920807,10,2
117625001,1160,3
124387132,2280,1
125293048,10,2
158007233,1300,4
190091299,40,3
190095382,40,3
190730270,2403,2
201115110,50,1
205828886,2280,3
207151480,2583,5
207257883,2583,5
211334790,2462,2
223805274,2403,3
254956784,2403,1
256504653,1320,1
258845359,2280,3
272891494,1281,1
278517003,2705,7
278528834,2705,5
278535884,2705,4
279822475,1140,3
289472891,2403,1
294403626,1280,2
298737347,2462,2
344240059,2522,4
353771623,40,1
388467753,1140,3
435016460,2280,4
435273724,2280,2
436067568,2280,2
444108636,10,2
476383013,2705,5
516394759,1300,2
522627969,1160,3
532980611,2220,1
535993293,2522,2
569548950,2280,5
569725834,2280,2
570628142,2280,2
570663184,2280,6
684292602,2060,1
824469524,2522,2
845432910,1320,1
871281071,1160,2
969179882,1560,4
1146674244,1302,1
1158987675,2583,1
1190507078,1560,2
1191766690,1320,1
1350498866,2705,5
1352145663,2583,5
1352146059,2583,2
1366398939,2462,3
1411852196,2403,1
1512728698,2280,3
1547138559,2403,2
1548294503,1180,1
1565732417,1140,2
1711734999,2905,1
1807806498,10,1
1810701779,2403,2
1857269337,2583,3
1859462393,2280,5
1882164320,1920,2
1893048509,1180,1
1915836983,1560,2
1932975409,1280,2
1952792748,1140,2
1989328275,2403,2
2033308192,1320,2
2050109964,2583,5
2074172103,2583,6
2091257012,2585,1
2142477536,2705,5
2160576205,1140,4
2230071933,2060,2
2255444083,2403,4
2333136838,1920,2
2406558169,1300,2
2476577455,50,2
2534214666,2583,1
2536863974,2522,2
2537777042,2705,4
2666371748,2522,1
2685362450,2585,1
2769353975,2403,2
2792163142,50,2
2823144007,2582,1
2852954663,2522,1
2932591602,1320,1
2940638631,2583,3
2984373231,2583,6
3079667218,1560,1
3090578073,2060,1
3147314797,2583,2
3212831992,2705,4
3226779852,1160,3
3228900895,1280,2
3249398687,1280,3
3255495124,1560,2
3287127001,1281,1
3294453709,1140,2
3493552571,1302,1
3494065274,2583,6
3564368264,2403,1
3691441491,2403,3
3718150116,2522,1
3735707499,2403,4
3748203527,1300,2
3748234383,1280,2
3775275367,2583,7
3793572222,2582,1
3804725264,10,2
3817904723,2522,1
3820236359,1560,3
3847254406,2060,1
3855161611,2583,4
3868342085,1280,1
3873228357,1560,2
3876189522,2522,1
3879890848,1300,1
3885602739,50,3
3893192098,1300,3
3893243612,1302,2
3904025129,1280,2
3908951214,2060,1
3908953944,2060,4
3921350051,2583,4
3929890128,2583,2
3936362802,2583,4
3944198188,1140,3
3951008374,1300,5
3967114281,2522,2
3992742695,1920,4
4004145763,1920,4
4006528698,1281,2
4006540302,1281,2
4007155304,1281,1
4010221940,1302,2
4010224699,1302,2
4012748163,1920,4
4017676858,1300,4
4041456409,1300,1
4044463867,1560,1
4077173787,2060,2
4086071880,2060,1
4086457567,2403,1
4101891756,2583,3
4108914287,1560,2
4122557333,1300,1
4127967621,1560,2
4128438373,2583,3
4137059841,1280,3
4137157149,2403,1
4150114277,2583,3
4159071251,2522,3
4159399664,1920,4
4164667711,2522,3
4168956093,1560,2
4170895440,1560,2
4172827940,1300,3
4173008727,1302,3
4180534759,1180,1
4182233005,1560,1
4182265443,1560,1
4186310238,1280,1
4187115528,1300,5
4187799604,1180,1
4193585163,1280,2
4197497931,1560,2
4198487181,2060,2
4200117001,2060,2
4200874030,60,1
4200877294,60,2
4201306796,2583,2
4211078394,1280,2
4211197055,2060,2
4213435883,2060,3
4214101388,2060,3
4214664230,1280,1
4223031202,2582,1
4229642138,1920,1
4232229083,40,1
4234288409,2060,2
4237073471,40,3
4239126071,1280,3
